Id,name,type,code,href,timeZone,areaCode,coordinates,flag
1,Alabama,State,al,https://www.unitedstateszipcodes.org/al/,Central (4:40am),334 (Area Code Map),"32, -86",23px-Flag_of_Alabama.svg.png
2,Alaska,State,ak,https://www.unitedstateszipcodes.org/ak/,,907 (Area Code Map),"61, -155",21px-Flag_of_Alaska.svg.png
3,Arizona,State,az,https://www.unitedstateszipcodes.org/az/,America/Phoenix (3:41am),602 (Area Code Map),"33, -112",23px-Flag_of_Arizona.svg.png
4,Arkansas,State,ar,https://www.unitedstateszipcodes.org/ar/,Central (4:41am),,"35, -92",23px-Flag_of_Arkansas.svg.png
5,California,State,ca,https://www.unitedstateszipcodes.org/ca/,Pacific (2:41am),,"37, -119",23px-Flag_of_California.svg.png
6,Colorado,State,co,https://www.unitedstateszipcodes.org/co/,Mountain (3:41am),303 (Area Code Map),"40, -105",23px-Flag_of_Colorado.svg.png
7,Connecticut,State,ct,https://www.unitedstateszipcodes.org/ct/,Eastern (5:41am),,"41.5, -72.8",19px-Flag_of_Connecticut.svg.png
8,Delaware,State,de,https://www.unitedstateszipcodes.org/de/,Eastern (5:42am),302 (Area Code Map),"39.1, -75.4",23px-Flag_of_Delaware.svg.png
9,Florida,State,fl,https://www.unitedstateszipcodes.org/fl/,Eastern (5:42am),850 (Area Code Map),"30, -84",23px-Flag_of_Florida.svg.png
10,Georgia,State,ga,https://www.unitedstateszipcodes.org/ga/,Eastern (5:42am),,"33, -83",23px-Flag_of_Georgia_%28U.S._state%29.svg.png
11,Hawaii,State,hi,https://www.unitedstateszipcodes.org/hi/,Pacific/Honolulu (12:42am),808 (Area Code Map),"21, -158",23px-Flag_of_Hawaii.svg.png
12,Idaho,State,id,https://www.unitedstateszipcodes.org/id/,,208 (Area Code Map),"45, -114",19px-Flag_of_Idaho.svg.png
13,Illinois,State,il,https://www.unitedstateszipcodes.org/il/,Central (4:43am),,"40, -90",23px-Flag_of_Illinois.svg.png
